name,birth_country
Zayde Wølf,
Powerman 5000,US
Jordan Feliz,
Jai Paul,GB
Movements,
Raekwon,US
Living Colour,US
Lolo Zouaï,US
Rend Collective,IE
Ra Ra Riot,US
Pivot Gang,
Chad Kroeger,CA
Amber Mark,US
Billy Bragg,GB
Chris Cornell,US
CLOVES,
The Velvet Underground,US
Mom Jeans.,
JPEGMAFIA,US
of Montreal,US
Parkway Drive,AU
Cracker,US
Rini,US
Switchfoot,US
Pete Rock & C.L. Smooth,US
Citizen Way,
Neutral Milk Hotel,US
Urge Overkill,
Cleopatrick,CA
Vinyl Theatre,
Building 429,US
Veruca Salt,US
He Is We,US
Stateless,GB
Jonny Diaz,US
Mike Shinoda,US
Christian Rich,US
Kurt Vile,US
The Man Who,
Bloc Party,GB
Joywave,US
Digable Planets,
Die Antwoord,ZA
Q‐Tip,US
Royce da 5′9″,US
Serj Tankian,
Bobaflex,US
W.A.S.P.,US
Ratatat,US
OK Go,US
Josh Wilson,US
Porno for Pyros,US
Twin Shadow,US
Visceral Evisceration,AT
Rapsody,US
Adelitas Way,US
Shane & Shane,US
The Hives,SE
Watt,
Buddy Holly,US
St. Lucia,US
Robert DeLong,US
Gallant,US
Baynk,NZ
Earshot,US
Satin Jackets,DE
The Voidz,US
She Wants Revenge,US
Lewis Del Mar,US
Nine Lashes,
Black Rebel Motorcycle Club,US
Apocalyptica,FI
Sleeping Wolf,
New Order,GB
Jacob Collier,
Dinosaur Pile‐Up,GB
Mad Season,US
Yonaka,
Iggy Pop,US
Black Sheep,US
GRAACE,
Dinosaur Jr.,US
Gojira,FR
Madvillain,US
Our Lady Peace,CA
TRUSTcompany,US
MF DOOM,US
Moose Blood,GB
Evans Blue,CA
Icon for Hire,US
Jaguares,MX
Fugazi,US
Lord Finesse,US
Steven Curtis Chapman,US
Shaman’s Harvest,US
Sebastian Mikael,
Nonpoint,US
Natalia Lafourcade,MX
Noah Slee,NZ
Dread Mar-I,AR
Shallow Side,US
Phonte,US
Ro James,
The Avalanches,AU
Damian,GB
Karen O,US
Bunbury,ES
Caifanes,MX
DRAMA,
Gang Starr,US
Paul Westerberg,
Billy Ray Cyrus,US
Faren,
Wrinkle Neck Mules,US
Keith Whitley,US
Casey James,US
Emerson Drive,CA
K.T. Oslin,US
Craig Campbell,US
Glen Templeton,US
Garrett Hedlund,
Cory Morrow,US
Charlie Robison,US
Brandon Ray,US
Climax Blues Band,GB
Redneck Souljers,
Racket County,
Jetty Road,AU
Eddy Arnold,US
Paul Brandt,CA
Jo Dee Messina,US
Aaron Tippin,US
David Adam Byrnes,
Jason Boland & The Stragglers,US
The Lemonheads,US
Lennon & Maisy,CA
Boz Scaggs,US
Pam Tillis,US
The Jayhawks,US
Collin Raye,US
SUSTO,
Brad Cox,
Caitlyn Smith,US
Ferlin Husky,US
Moe Bandy,US
Gretchen Wilson,US
Alison Krauss,US
Tom MacDonald,CA
