,name,birth_country
1127,Them Crooked Vultures,US
1128,Natalie Grant,US
1129,Hatebreed,US
1130,Brandon Heath,US
1131,Moods,
1132,Jamila Woods,US
1133,J Dilla,US
1134,Hieroglyphics,US
1135,CKY,
1136,The Bravery,US
1137,Grand Puba,US
1138,Laura Story,US
1139,The Phantoms,US
1140,Black Star,US
1141,Celso Piña,MX
1142,Rival Sons,US
1143,The Veer Union,CA
1144,Curren$y,US
1145,Free Throw,
1146,Revis,US
1147,Black Stone Cherry,US
1148,Primus,
1149,RKCB,
1150,Aaron Shust,
1151,Screaming Trees,US
1152,Anberlin,US
1153,Frank Carter & The Rattlesnakes,GB
1154,Los Fabulosos Cadillacs,AR
1155,Metronomy,GB
1156,Jeremy Camp,
1157,Crystal Castles,CA
1158,Four Tet,GB
1159,Soda Stereo,AR
1160,Camp Lo,US
1161,Pavement,US
1162,Boston Manor,
1163,Foxygen,US
1164,Junglepussy,
1165,Sorority Noise,US
1166,Danny Brown,US
1167,Taproot,US
1168,Meredith Andrews,
1169,Black Label Society,US
1170,Palaye Royale,CA
1171,Demob Happy,GB
1172,Lincoln Brewster,US
1173,Easy Life,
1174,Julieta Venegas,MX
1175,Citizen,US
1176,Kelsey Lu,US
1177,Mother Love Bone,US
1178,Jason Gray,US
1179,Common,US
1180,Divinyls,AU
